nct_id,country
NCT00043875,Portugal
NCT00043875,Slovakia
NCT00043875,Spain
NCT00043875,Turkey
NCT00043901,United States
NCT00043901,Argentina
NCT00043901,Chile
NCT00043901,Peru
NCT00043914,
NCT00044005,United States
NCT00044044,United States
NCT00044070,United States
NCT00044070,Austria
NCT00044070,Belgium
NCT00044070,Canada
NCT00044070,Germany
NCT00044070,South Africa
NCT00044083,United States
NCT00044187,United States
NCT00044278,United States
NCT00044278,Argentina
NCT00044278,Australia
NCT00044278,Estonia
NCT00044278,France
NCT00044278,Hungary
NCT00044278,Italy
NCT00044278,Latvia
NCT00044278,Lebanon
NCT00044278,Lithuania
NCT00044278,Netherlands
NCT00044278,Portugal
NCT00044278,Puerto Rico
NCT00044278,Slovakia
NCT00044278,Turkey
NCT00044395,United States
NCT00044395,Australia
NCT00044395,Belgium
NCT00044395,Denmark
NCT00044395,Estonia
NCT00044395,Germany
NCT00044395,Hungary
NCT00044395,Israel
NCT00044395,Spain
NCT00044408,United States
NCT00044408,Canada
NCT00044408,Croatia
NCT00044408,Finland
NCT00044408,India
NCT00044408,Lithuania
NCT00044408,Netherlands
NCT00044408,United Kingdom
NCT00044421,United States
NCT00044421,Australia
NCT00044421,Belgium
NCT00044421,Canada
NCT00044421,Croatia
NCT00044421,Denmark
NCT00044421,Estonia
NCT00044421,Finland
NCT00044421,Germany
NCT00044421,Hungary
NCT00044421,India
NCT00044421,Lithuania
NCT00044421,Netherlands
NCT00044421,Spain
NCT00044421,United Kingdom
NCT00044616,United States
NCT00044629,United States
NCT00044642,United States
NCT00044655,
NCT00044681,
NCT00044772,
NCT00044798,United States
NCT00044915,United States
NCT00044915,Australia
NCT00044915,Austria
NCT00044915,Belgium
NCT00044915,Canada
NCT00044915,Finland
NCT00044915,France
NCT00044915,Germany
NCT00044915,Hungary
NCT00044915,Israel
NCT00044915,Italy
NCT00044915,Netherlands
NCT00044915,Spain
NCT00044915,Sweden
NCT00044915,United Kingdom
NCT00045916,United States
NCT00045968,United States
NCT00045968,Canada
NCT00045968,Germany
NCT00045968,United Kingdom
NCT00046163,United States
NCT00046293,United States
NCT00046358,United States
NCT00046475,United States
NCT00046722,United States
NCT00046761,United States
NCT00046761,Canada
NCT00046813,United States
NCT00047320,United States
NCT00047320,Australia
NCT00047320,Canada
NCT00047320,New Zealand
